Name,Genre,Date,Actors,Season,Episode,Rating,ProductionCompany,Directors,Writers,Runtime,IsFinished
 Pasa Baba Konagi,"Comedy, History",2000,"'Melahat Abbasova', 'Ferdi Akarnur', 'Ramazan Akboga', 'Mesut Akusta'",1,20,5.7,TGRT,'Ahmet Bilge','Tarkan Karlidag',61,1
 Keske Hiç Büyümeseydik,"Comedy, Drama, Family",2018,"'Ege Aydan', 'Burcu Kara', 'Açelya Akkoyun', 'Murat Kiliç'",1,4,5.7,Mint ProdÃ¼ksiyon,'Mustafa Ugur Yagcioglu',"'Murat Aras', 'Birol Güven'",120,1
 Kayip Araniyor,Crime,2011,"'Levent Üzümcü', 'Irem Altug', 'Ayhan Eroglu', 'Özcan Varayli'",1,8,5.4,Yagmur Ajans,"'Irmak Çig', 'Sahin Bal'","'Özge Aras', 'Hakan Bintepe'",90,1
 3 Tatli Cadi,"Comedy, Family, Fantasy",2007,"'Aysun Kayaci', 'Deniz Erkanat', 'Elçin Sanal', 'Arzu Budak'",1,13,5.7,Yagmur Ajans,'Günay Köker',"'Evrensel Belgin', 'Kaan Koc'",61,1
 Izmir Çetesi,"Adventure, Comedy, Drama",2011,"'Kadir Inanir', 'Mustafa Üstündag', 'Kenan Ece', 'Cem Davran'",1,16,4.0,Pastel Film,"'Murat Seker', 'Yildiz Hülya Bilban'",'Ali Can Yaras',90,1
 Kasaba,"Drama, Romance",2009–2010,"'Arif Selçuk', 'Serdal Genç', 'Talat Bulut', 'Murat Ünalmis'",1,1,6.4,aSis Yapim,'Cevdet Mercan',"'Didem Ayberkin', 'Fikret Bekler'",61,1
 Karamel,Drama,2008,"'Ahu Türkpençe', 'Emre Kinay', 'Gökhan Soylu', 'Ülkü Duru'",1,20,2.8,Pastel Film,"'Safak Bal', 'Özer Kiziltan'",'Mahinur Ergun',61,1
 Tövbeler Tövbesi,Drama,2011–2012,"'Keremcem', 'Ozlem Ulukan', 'Gözde Mutluer', 'Serhat Özcan'",1,2,3.3,Pastel Film,'Taner Akvardar',"'Onur Aydin', 'Hürer Ebeoglu'",90,1
 Marziye,"Drama, Romance",1998–2000,"'Gülben Ergen', 'Kadir Inanir', 'Ekrem Bora', 'Nilüfer Aydan'",1,20,2.2,Yagmur Ajans,"'Taner Akvardar', 'Avni Kütükoglu'","'Nuran Devres', 'Fatma Irfan Serhan'",61,1
 Güneydogu'dan Öyküler - Önce Vatan,"Drama, Romance, War",2010,"'Melisa Sözen', 'Serhat Tutumluer', 'Umut Kurt', 'Arsen Gürzap'",1,1,5.7,Fida Film,'Onur Tan',"'Mehmet Ilker Altinay', 'Hakan Evrensel'",61,1
 Kara Duvak,Drama,2007,"'Hande Ataizi', 'Teoman Kumbaracibasi', 'Ayçin Inci', 'Rana Cabbar'",1,13,2.9,Pastel Film,'Sahin Gök','Nuran Devres',61,1
 Heredot Cevdet Saati,History,2015,"'Hasan Kaçan', 'Levent Beceren', 'Fatih Kaçan', 'Ismail Kavrakoglu'",1,1,2.0,Pastel Film,'Özgür Pak',"'Hasan Kaçan', 'Ugur Kaçan'",61,1
 Heye 33,"Action, Crime",2017–,"'Mehmet Avci', 'Gökhan Budak', 'Cem Levent Erünsal', 'Hakki Can Ortak'",2,6,5.7,"'Acun Medya', 'Bloom Medya'",'Yunus Can Akil',"'Gökhan Budak', 'Tolga Manyer'",30,0
 Gecenin Siyahi,"Action, Crime, Drama",2019,"'Hazar Deniz BG', 'Ramazan Uygur', 'Buse Yilmaz', 'Zerdest Duruskan'",1,3,5.5,Hipa Medya,'Hazar Deniz BG','Hazar Deniz BG',23,1
 Kalbim 4 Mevsim,"Drama, Romance",2012,"'Su Burcu Coskun', 'Merve Oflaz', 'Cavit Çetin Güner', 'Sedat Mert'",1,1,4.9,Star TV,"'Mestan Sakalli', 'Ilgaz Giritlioglu'",'Tamer Ciray',61,1
 Aynadaki Düsman,Action,2009,"'Safak Sezer', 'Mine Tugay', 'Fadik Sevin Atasoy', 'Mahir Günsiray'",1,20,4.2,Çagan Studio,"'Kamil Aydin', 'Hakan Kursun'",'Haluk Örgün',61,1
 Atlilar,Fantasy,2012,"'Canan Erguder', 'Tamer Levent'",1,1,4.9,Adam Film,'Serdar Akar',"'Serdar Akar', 'Eset Akcilad'",61,1
 Asla Unutma,Drama,2005,"'Yeliz Akkaya', 'Göksel Arsoy', 'Haldun Boysan', 'Ediz Hun'",1,20,4.4,Vizyon Film,'Nazif Tunç','Nuran Devres',61,1
 Adi Ask Olsun,Romance,2004,"'Mine Tugay', 'Ayda Aksel', 'Fikret Kuskan', 'Kamil Güler'",1,4,7.0,Vizyon Film,'Cem Sürücü','Hüsnü Özçetin',61,1
 6 Manti,"Comedy, Drama",2012–2013,"'Ogüncan Özer', 'Didem Inselel', 'Ulas Torun', 'Kerim Kalan'",1,1,6.1,O3 Medya,"'Ahmet Katiksiz', 'Yahya Samanci'","'Ibrahim Sever', 'Fatih Enes Ömeroglu'",60,1
 Derya & Deniz,Drama,2002–2003,"'Özlem Conker', 'Sencan Güleryüz', 'Tarik Pabuccuoglu', 'Bülent Polat'",1,59,5.0,Base Productions,'Cankat Ergin','Sergin Akyaz',45,1
